city,country,host,id,price,review,stars,timestamp,titre
"ain el mreisse, beirut",lebanon,besthoteloffers.net,1043748,2517.0,7.6,4,2018-06-24 12:51:48.017913,mayflower hotel beirut
"madaba, jordan",jordan,besthoteloffers.net,1519323,5821.0,7.9,5,2018-06-24 12:51:48.017913,evason ma'in hot springs & six senses spa hotel madaba
"ain el mreisse, beirut",lebanon,besthoteloffers.net,1196882,6760.0,7.2,4,2018-06-24 12:51:48.017913,riviera hotel beirut
"aqaba, jordan",jordan,besthoteloffers.net,2677874,4335.0,6.8,5,2018-06-24 12:51:48.017913,swiss-belhotel aqaba city
"raoucheh, beirut",lebanon,besthoteloffers.net,2050396,8770.0,9.0,5,2018-06-24 12:51:48.017913,lancaster plaza hotel
"sweimeh, jordan",jordan,besthoteloffers.net,2594182,5965.0,8.2,5,2018-06-24 12:51:48.017913,hilton dead sea resort and spa
"damour, lebanon",lebanon,besthoteloffers.net,1787967,7016.0,7.0,4,2018-06-24 12:51:48.017913,golden tulip jiyeh marina and resort
"amman, jordan",jordan,besthoteloffers.net,1358502,2470.0,7.3,3,2018-06-24 12:51:48.017913,rum hotels al-waleed
"achrafieh, beirut",lebanon,besthoteloffers.net,2958467,5282.0,8.2,5,2018-06-24 12:51:48.017913,royal tulip achrafieh
"amman, jordan",jordan,besthoteloffers.net,1827186,4829.0,8.0,5,2018-06-24 12:51:48.017913,grand millennium hotel amman
"beirut, lebanon",lebanon,besthoteloffers.net,1870692,6578.0,9.0,4,2018-06-24 12:51:48.017913,saifi suites
"amman, jordan",jordan,besthoteloffers.net,1041531,4832.0,8.2,5,2018-06-24 12:51:48.017913,marriott hotel amman
"ain el mreisse, beirut",lebanon,besthoteloffers.net,1718985,2683.0,8.7,4,2018-06-24 12:51:48.017913,golden tulip midtown hotel and suites
"sweimeh, jordan",jordan,besthoteloffers.net,1650728,8954.0,8.5,5,2018-06-24 12:51:48.017913,crowne plaza jordan dead sea resort sweimeh
"parliament square & downtown, beirut",lebanon,besthoteloffers.net,1043746,4116.0,8.1,5,2018-06-24 12:51:48.017913,markazia suites
"amman, jordan",jordan,besthoteloffers.net,1650610,2151.0,8.0,3,2018-06-24 12:51:48.017913,hotel misk
"zouk mosbeh, lebanon",lebanon,besthoteloffers.net,1921893,1949.0,5.6,3,2018-06-24 12:51:48.017913,lagace hotel
