city,country,host,id,price,review,stars,timestamp,titre
agadir,morocco,booking.com,98862,1827.0,8.7,5,2018-06-24 21:37:02.802253,tikida golf palace
agadir,morocco,booking.com,1487632,1364.0,7.4,3,2018-06-24 21:37:02.802253,anezi apartments
fes,morocco,booking.com,98925,952.0,7.8,5,2018-06-24 21:37:02.802253,les merinides
amman,jordan,booking.com,171927,1016.0,6.6,4,2018-06-24 21:37:02.802253,le vendome hotel
aqaba,jordan,booking.com,373719,677.0,7.5,3,2018-06-24 21:37:02.802253,maswada plaza hotel
amman,jordan,booking.com,42687,644.0,6.9,3,2018-06-24 21:37:02.802253,liwan hotel
amman,jordan,booking.com,386343,534.0,6.7,3,2018-06-24 21:37:02.802253,abjar hotel
amman,jordan,booking.com,2431509,1203.0,8.2,4,2018-06-24 21:37:02.802253,sindyan resort
amman,jordan,booking.com,1277449,292.0,6.4,2,2018-06-24 21:37:02.802253,golden key hotel
amman,jordan,booking.com,1382402,847.0,7.9,3,2018-06-24 21:37:02.802253,balcony hotel
amman,jordan,booking.com,309571,705.0,6.8,3,2018-06-24 21:37:02.802253,al fanar palace hotel and suites
amman,jordan,booking.com,581789,593.0,,3,2018-06-24 21:37:02.802253,rinad hotel
amman,jordan,booking.com,1949986,288.0,7.6,1,2018-06-24 21:37:02.802253,hotel nefertiti
dubai,united arab emirates,booking.com,2098543,557.0,8.2,4,2018-06-24 21:37:02.802253,royal continental hotel
abu dhabi,united arab emirates,booking.com,238832,459.0,8.3,4,2018-06-24 21:37:02.802253,city seasons al hamra hotel
al ain,united arab emirates,booking.com,2182295,726.0,8.7,5,2018-06-24 21:37:02.802253,ayla grand hotel
"jumeirah lakes towers, dubai",united arab emirates,booking.com,633399,848.0,7.7,5,2018-06-24 21:37:02.802253,movenpick hotel jumeirah lakes towers dubai
"bur dubai, dubai",united arab emirates,booking.com,67266,626.0,8.0,4,2018-06-24 21:37:02.802253,arabian courtyard hotel & spa
ghayathi,united arab emirates,booking.com,401527,786.0,7.7,3,2018-06-24 21:37:02.802253,western hotel - ghayathi
"dubai marina, dubai",united arab emirates,booking.com,187985,1719.0,9.2,5,2018-06-24 21:37:02.802253,address dubai marina
"bur dubai, dubai",united arab emirates,booking.com,1225451,589.0,8.2,4,2018-06-24 21:37:02.802253,raviz center point hotel
hatta,united arab emirates,booking.com,71609,1810.0,8.6,4,2018-06-24 21:37:02.802253,ja hatta fort hotel
tangier,morocco,booking.com,432472,847.0,7.8,3,2018-06-24 21:37:02.802253,ramada encore tangier
"hivernage, marrakech",morocco,booking.com,242500,753.0,7.8,4,2018-06-24 21:37:02.802253,mogador opera
tangier,morocco,booking.com,1608131,2453.0,8.5,4,2018-06-24 21:37:02.802253,hilton garden inn tanger city centre
mhamid,morocco,booking.com,570909,420.0,9.1,2,2018-06-24 21:37:02.802253,desert bivouac mhamid
ouarzazate,morocco,booking.com,360793,504.0,7.6,3,2018-06-24 21:37:02.802253,hotel la perle du sud
amman,jordan,booking.com,1764240,830.0,7.7,3,2018-06-24 21:37:02.802253,sofia suites hotel
